panel_short,coef,estimate,se
Panel A,Theta_up_Cog,0.336531089919379,0.101088153612744
Panel A,Theta_dn_Cog,0.147413673460869,0.128307850400133
Panel A,kappa_Cog,-0.0233082211802126,0.0232575511463936
Panel A,delta_Cog,-0.770030802443352,0.345395906203638
Panel A,Theta_up_Phy,-0.818543870354247,0.136599695219325
Panel A,Theta_dn_Phy,-0.146188248225011,0.107237581707819
Panel A,kappa_Phy,-0.0234529144845148,0.0349005458231018
Panel A,delta_Phy,-1.5427423775008,0.41578299398288
Panel B,Theta_up_Cog,0.307118400341779,0.0603134257354499
Panel B,Theta_dn_Cog,0.0707067415107274,0.0433996074296452
Panel B,kappa_Cog,-0.0461844533959678,0.016389356399147
Panel B,delta_Cog,-1.73392874865915,0.23376735836132
Panel B,Theta_up_Phy,-0.648850258218612,0.107041978948103
Panel B,Theta_dn_Phy,-0.143026410019688,0.0686749553979275
Panel B,kappa_Phy,0.00707353756269506,0.033416581161635
Panel B,delta_Phy,-2.85045792384703,0.395873098637181
