panel_short,coef,p_individual,mean_perm,sd_perm,baseline_est,compression_ratio,n_reps,test
Panel A,Theta_dn_Cog,0.033,0.0838624355022953,0.0344113164792705,0.147413673460869,0.571355610180646,1000,Test ii
Panel A,Theta_dn_Phy,0.103,0.0788470084924539,0.0541305654830959,-0.146188248225011,0.561986355626195,1000,Test ii
Panel A,Theta_up_Cog,0.017,-0.223412657223324,0.0560041730423352,0.336531089919379,0.663869294444225,1000,Test ii
Panel A,Theta_up_Phy,0,-0.224241899925539,0.0882924635414867,-0.818543870354247,0.274437336835493,1000,Test ii
Panel B,Theta_dn_Cog,0.279,0.0501060358951053,0.0358238283548413,0.0707067415107274,0.746841822976319,1000,Test ii
Panel B,Theta_dn_Phy,0.045,0.0452704699734809,0.0563407680704772,-0.143026410019688,0.407370061741455,1000,Test ii
Panel B,Theta_up_Cog,0,-0.0959784032218771,0.0497208558331359,0.307118400341779,0.317390832517324,1000,Test ii
Panel B,Theta_up_Phy,0,-0.0977019076733337,0.0786680391093722,-0.648850258218612,0.161704460533618,1000,Test ii
Panel A,Theta_dn_Cog,0,0.0303377404212957,0.00422736036135218,0.147413673460869,0.205800043571595,1000,Test iii
Panel A,Theta_dn_Phy,0,-0.0825535514024604,0.00718424245966906,-0.146188248225011,0.564707166306522,1000,Test iii
Panel A,Theta_up_Cog,0,0.0190595187788864,0.00501380286504561,0.336531089919379,0.0566352392091096,1000,Test iii
Panel A,Theta_up_Phy,0,-0.026660634537471,0.0049518185476084,-0.818543870354247,0.032570807140652,1000,Test iii
Panel B,Theta_dn_Cog,0,0.0584147018142241,0.00312526717782926,0.0707067415107274,0.826154629192771,1000,Test iii
Panel B,Theta_dn_Phy,0,-0.0631476327803016,0.00679758360229885,-0.143026410019688,0.441510297095544,1000,Test iii
Panel B,Theta_up_Cog,0,0.0561662529363912,0.00467950054160087,0.307118400341779,0.182881432287633,1000,Test iii
Panel B,Theta_up_Phy,0,0.000109981919823928,0.00463182089869173,-0.648850258218612,0.00568704865238984,1000,Test iii
