wage_quintile,domain,brier_ATC,brier_NULL,n_cells,brier_skill
1,Cognitive,0.125934628702419,0.125576050507271,8320,1.00285546641816
2,Cognitive,0.112435218375419,0.111730971875435,8646,1.0063030553495
3,Cognitive,0.113505186620615,0.112540268669847,8070,1.00857397944907
4,Cognitive,0.1536213184112,0.153167630266491,6220,1.00296203671702
5,Cognitive,0.190987581191747,0.190972840284819,4620,1.00007718849919
1,Physical,0.175358433706165,0.172081181365567,3303,1.01904480382219
2,Physical,0.158110328965989,0.156160435688974,3172,1.01248647436473
3,Physical,0.138289912941862,0.136880585942386,3545,1.01029603277758
4,Physical,0.0907543221663882,0.0902511511284255,5067,1.00557523124826
5,Physical,0.0588233811986292,0.0589332060351587,6164,0.998136452368399
